timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,152.0,383875,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,0.0
0,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,3,pat-171,600.0,1616261,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,0.0
1,0,k8s-cicd,152.0,383875,0,83.0,229782,0,18,54.60526315789473,59.85854770433083,0.0,0.25
1,1,k8s-mano,240.0,772089,0,1.0,2457,0,1,0.4166666666666667,0.31822756184843976,0.0,0.25
1,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,3,pat-171,600.0,1616261,512,18.0,41777,10,4,3.0,2.5847929263899827,1.953125,0.25
2,0,k8s-cicd,152.0,383875,0,99.0,264189,0,22,65.13157894736842,68.82162162162162,0.0,0.5
2,1,k8s-mano,240.0,772089,0,1.0,2457,0,1,0.4166666666666667,0.31822756184843976,0.0,0.5
2,2,pat-141,80.0,385437,0,4.0,8601,0,1,5.0,2.2314930844729486,0.0,0.5
2,3,pat-171,600.0,1616261,512,64.0,159741,70,7,10.666666666666668,9.883366609724543,13.671875,0.5
3,0,k8s-cicd,152.0,383875,0,134.0,342828,0,24,88.1578947368421,89.30719635297949,0.0,0.75
3,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,2,pat-141,80.0,385437,0,13.0,27032,0,3,16.25,7.013338107135538,0.0,0.75
3,3,pat-171,600.0,1616261,512,88.0,221796,84,6,14.666666666666666,13.72278363457387,16.40625,0.75
4,0,k8s-cicd,152.0,383875,0,129.0,302892,0,20,84.86842105263158,78.90380983393031,0.0,1.0
4,1,k8s-mano,240.0,772089,0,39.5,210124,0,1,16.458333333333332,27.214997234774746,0.0,1.0
4,2,pat-141,80.0,385437,0,9.0,18431,0,2,11.25,4.781845022662588,0.0,1.0
4,3,pat-171,600.0,1616261,512,89.0,224253,84,7,14.833333333333334,13.87480116144608,16.40625,1.0
5,0,k8s-cicd,152.0,383875,0,119.0,289376,0,21,78.28947368421053,75.38287202865516,0.0,1.25
5,1,k8s-mano,240.0,772089,0,39.5,210124,0,1,16.458333333333332,27.214997234774746,0.0,1.25
5,2,pat-141,80.0,385437,0,8.0,15974,0,1,10.0,4.144386761001149,0.0,1.25
5,3,pat-171,600.0,1616261,512,86.0,216880,84,7,14.333333333333334,13.418624838438841,16.40625,1.25
6,0,k8s-cicd,152.0,383875,0,101.0,230397,0,16,66.44736842105263,60.01875610550309,0.0,1.5
6,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,3,pat-171,600.0,1616261,512,89.0,221025,88,10,14.833333333333334,13.675080942991261,17.1875,1.5
7,0,k8s-cicd,152.0,383875,0,109.0,220568,0,13,71.71052631578947,57.45828720286552,0.0,1.75
7,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,1.75
7,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.75
7,3,pat-171,600.0,1616261,512,53.0,135011,54,6,8.833333333333334,8.353291949753165,10.546875,1.75
8,0,k8s-cicd,152.0,383875,0,112.0,212580,0,11,73.68421052631578,55.377401497883426,0.0,2.0
8,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,2.0
8,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.0
8,3,pat-171,600.0,1616261,512,79.0,215670,94,6,13.166666666666666,13.34376069211594,18.359375,2.0
9,0,k8s-cicd,152.0,383875,0,88.0,187391,0,11,57.89473684210527,48.815630087919246,0.0,2.25
9,1,k8s-mano,240.0,772089,0,55.0,313344,0,1,22.916666666666664,40.583922319836184,0.0,2.25
9,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.25
9,3,pat-171,600.0,1616261,512,78.0,215210,94,5,13.0,13.315299942274175,18.359375,2.25
10,0,k8s-cicd,152.0,383875,0,59.0,143153,0,9,38.81578947368421,37.29156626506024,0.0,2.5
10,1,k8s-mano,240.0,772089,0,77.0,446054,0,2,32.083333333333336,57.77235525956205,0.0,2.5
