id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
0,mdm-test-user-01,0,3,1.0,3072,0,0,0,2
1,product-catalog-100m-cdbr,2,2,1.0,3072,0,0,0,2
2,product-catalog,2,2,1.0,3072,0,0,0,2
3,mediation-test-user-01,6,2,1.0,3072,0,0,0,2
4,mdm-test-feature-user-01,6,1,1.0,3072,0,0,0,2
5,product-catalog-mysign,15,1,1.0,3072,0,0,0,2
6,product-catalog-100m-sws,15,1,1.0,3072,0,0,0,2
7,nfvi,4,2,1.0,4915,0,0,0,2
8,rating-latest,0,3,1.0,6144,0,0,0,3
9,rating-test-user-01,9,2,1.0,6144,0,0,0,3
10,rating-test-user-03,17,3,1.0,6144,0,0,0,3
11,rating-test-user-02,18,1,1.0,6144,0,0,0,3
12,recurring-policy-test-user-03,13,2,1.0,12288,0,0,0,5
13,recurring-test-user-os1,3,1,1.0,12902,0,0,0,5
14,recurring-test-user-100,3,3,1.0,12902,0,0,0,5
15,scanapp-test-user-05,6,2,1.0,15360,0,0,0,6
16,recurring-policy-test-user-05,2,3,1.0,15974,0,0,0,5
17,recurring-policy-test-user-02,10,3,1.0,15974,0,0,0,5
18,event-processer-user-01,0,3,1.0,18432,0,0,0,6
19,scanapp-test-user-01,0,1,1.0,18432,0,0,0,6
20,scanapp-test-user-06,1,1,1.0,18432,0,0,0,6
21,scanapp-test-user-03,5,1,1.0,18432,0,0,0,6
22,recurring-policy-test-user-01,12,1,1.0,18432,0,0,0,5
23,event-processor-user-05,18,1,1.0,18432,0,0,0,6
24,event-processor-user-06,18,2,1.0,18432,0,0,0,6
25,scanapp-latest,18,1,1.0,18432,0,0,0,6
26,event-processor-user-02,21,3,1.0,18432,0,0,0,6
27,event-processor-latest,21,3,1.0,18432,0,0,0,6
28,recurring-policy-latest,1,1,1.0,19660,0,0,0,5
29,scanapp-test-user-02,3,1,1.0,20889,0,0,0,6
30,devops-vsm-staging,2,2,2.0,2457,0,0,0,2
31,recurring-policy-test-user-04,6,1,2.0,15974,0,0,0,5
32,abm-test-user-01,0,1,2.0,19046,0,0,0,5
33,event-processor-user-01,5,2,2.0,22118,0,0,0,6
34,test-service-user-01,21,3,2.0,62054,0,0,0,8
35,abm-common-02,1,3,3.0,6144,0,0,0,4
36,custhis-test-user-02,2,1,3.0,6144,0,0,0,4
37,custhis-test-user-01,6,3,3.0,6144,0,0,0,4
38,webocs-custhis-1,20,1,3.0,6144,0,0,0,4
39,abm-sws-pr-tiennn,1,1,3.0,6758,0,0,0,4
40,abm-100m,3,1,3.0,6758,0,0,0,4
41,abm-cntt-100m,16,1,3.0,6758,0,0,0,4
42,devops-vsm,5,1,4.0,1843,0,0,0,2
43,devops-vsm-dev-3,4,3,4.0,4915,0,0,0,4
44,devops-vsm-test-01,6,3,4.0,4915,0,0,0,4
45,devops-vsm-dev-1,13,2,4.0,4915,0,0,0,4
46,devops-vsm-dev-2,17,3,4.0,4915,0,0,0,4
47,webocs-product-1,7,3,4.0,7987,0,0,0,4
48,abm-100m-migration-01,4,3,4.0,8601,0,0,0,4
49,chp-event-test-user-02,5,1,4.0,8601,0,0,0,5
50,cdrgen-test-user-01,0,3,4.0,9216,0,0,0,5
51,chp-voice-hp-test-user-02,0,1,4.0,9216,0,0,0,5
52,chp-ftth-test-user-04,0,1,4.0,9216,0,0,0,5
53,chp-event-test-user-03,0,3,4.0,9216,0,0,0,5
54,pcp-gx-test-user-04,0,2,4.0,9216,0,0,0,5
55,product-catalog-load-rating-test-user-01,2,2,4.0,9216,0,0,0,5
56,chp-convergent-bypass-tpscontrol-test-user-01,3,1,4.0,9216,0,0,0,5
57,product-catalog-load-rating-test-user-02,3,3,4.0,9216,0,0,0,5
58,chp-event-test-user-01,3,2,4.0,9216,0,0,0,5
59,cdrgen-test-user-03,4,2,4.0,9216,0,0,0,5
60,chp-event-test-user-04,7,3,4.0,9216,0,0,0,5
61,cleaning-latest,7,1,4.0,9216,0,0,0,5
62,refund-test-user-03,9,3,4.0,9216,0,0,0,5
63,chp-ftth-test-user-03,9,2,4.0,9216,0,0,0,5
64,chp-gy-test-user-05,11,1,4.0,9216,0,0,0,5
65,chp-convergent-test-user-01,12,3,4.0,9216,0,0,0,5
66,chp-gy-test-user-01,15,1,4.0,9216,0,0,0,5
67,cleaning-test-user-01,17,2,4.0,9216,0,0,0,5
68,abm-common,17,2,4.0,9216,0,0,0,4
69,chp-gy-test-user-03,18,1,4.0,9216,0,0,0,5
70,chp-gy-test-user-02,18,2,4.0,9216,0,0,0,5
71,chp-convergent-test-user-03,18,2,4.0,9216,0,0,0,5
72,cdrgen-test-user-02,21,3,4.0,9216,0,0,0,5
73,chp-event-latest,21,3,4.0,9216,0,0,0,5
74,pcp-smpolicy-test-user-02,21,3,4.0,9216,0,0,0,5
75,chp-convergent-test-user-02,21,2,4.0,9216,0,0,0,5
76,cleaning-test-user-02,21,1,4.0,9216,0,0,0,5
77,event-processor-user-04,2,3,4.0,20275,0,0,0,6
78,event-processor-user-03,18,2,4.0,20889,0,0,0,6
79,pcp-smpolicy-test-user-03,3,2,5.0,10444,0,0,0,5
80,pcp-smpolicy-bypass-tpscontrol-test-user-01,4,2,5.0,10444,0,0,0,5
81,pcp-smpolicy-test-user-01,18,2,5.0,10444,0,0,0,5
82,provisioning-mysign-100m-test-user-01,0,3,5.0,11059,0,0,0,5
83,pcp-gx-test-user-05,21,3,5.0,11059,0,0,0,5
84,recurring-policy-test-user-06,2,3,5.0,19660,0,0,0,5
85,chp-voice-pstn-online-test-user-02,0,3,6.0,12288,0,0,0,5
86,chp-voice-pstn-online-test-user-03,1,1,6.0,12288,0,0,0,5
87,pcp-gx-test-user-01,1,3,6.0,12288,0,0,0,5
88,provisioning-test-user-08,2,1,6.0,12288,0,0,0,5
89,pcp-gx-latest,3,2,6.0,12288,0,0,0,5
90,provisioning-100m-test-user-02,5,2,6.0,12288,0,0,0,5
91,chp-voice-hp-test-user-01,7,1,6.0,12288,0,0,0,5
92,chp-voice-pstn-online-test-user-01,18,1,6.0,12288,0,0,0,5
93,gx-pcp-test-user-02,18,2,6.0,12288,0,0,0,5
94,provisioning-100m-test-user-01,22,1,6.0,12288,0,0,0,5
95,chp-gy-latest,8,1,6.0,13516,0,0,0,5
96,abm-test-user-02,0,1,6.0,18432,0,0,0,5
97,provisioning-cdbr-test-user-03,0,3,7.0,14131,0,0,0,5
98,provisioning-cdbr-test-user-01,5,2,7.0,14131,0,0,0,5
99,provisioning-cdbr-test-user-04,13,3,7.0,14131,0,0,0,5
100,provisioning-cdbr-test-user-02,19,1,7.0,14131,0,0,0,5
101,promotion-voice-latest,12,1,7.0,15360,0,0,0,6
102,promotion-voice-user-02,18,2,7.0,15360,0,0,0,6
103,promotion-voice-user-01,20,1,7.0,15360,0,0,0,6
104,provisioning-cdbr-latest,0,2,8.0,15974,0,0,0,5
105,webocs-sso-main,5,2,8.0,15974,0,0,0,5
106,product-catalog-test-user-03,1,1,8.0,16588,0,0,0,5
107,provisioning-test-user-01,3,3,8.0,17203,0,0,0,6
108,provisioning-test-user-05,4,2,8.0,17203,0,0,0,6
109,provisioning-mysign-test-user-01,7,3,8.0,17203,0,0,0,6
110,provisioning-test-user-02,8,2,8.0,17203,0,0,0,6
111,provisioning-test-user-09,9,2,9.0,18432,0,0,0,6
112,abm-latest,9,2,9.0,18432,0,0,0,5
113,provisioning-test-user-04,19,2,9.0,18432,0,0,0,6
114,chp-ftth-test-user-01,20,1,9.0,18432,0,0,0,6
115,abm-mysign,4,1,9.0,19046,0,0,0,5
116,abm-2m-migration-01,7,1,9.0,19046,0,0,0,5
117,abm-2m-migration-02,17,1,9.0,19046,0,0,0,5
118,abm-common-03,19,1,9.0,19046,0,0,0,5
119,chp-voice-test-user-01,0,1,9.0,19660,0,0,0,6
120,chp-voice-test-user-06,3,3,9.0,19660,0,0,0,6
121,chp-voice-latest,3,3,9.0,19660,0,0,0,6
122,chp-voice-test-user-04,10,3,9.0,19660,0,0,0,6
123,chp-voice-test-user-02,12,2,9.0,19660,0,0,0,6
124,chp-voice-test-user-03,15,2,9.0,19660,0,0,0,6
125,provisioning-mysign-test-user-02,2,2,10.0,20275,0,0,0,6
126,provisioning-test-user-03,4,3,10.0,20275,0,0,0,6
127,volte-test-user-03,5,2,10.0,20275,0,0,0,6
128,product-catalog-test-user-04,7,2,10.0,20275,0,0,0,5
129,volte-test-user-02,8,3,10.0,20275,0,0,0,6
130,provisioning-test-user-07,12,2,10.0,20275,0,0,0,6
131,volte-latest,18,1,10.0,20275,0,0,0,6
132,volte-test-user-01,20,2,10.0,20275,0,0,0,6
133,voice-nr-test-user-01,2,1,10.0,21504,0,0,0,6
134,voice-nr-test-user-02,5,2,10.0,21504,0,0,0,6
135,mediation-pstn-test-user-01,12,3,10.0,21504,0,0,0,6
136,chp-voice-performance,18,2,10.0,22118,0,0,0,6
137,provisioning-latest,10,3,12.0,25804,0,0,0,6
138,product-catalog-latest,11,1,13.0,26419,0,0,0,5
139,product-catalog-test-user-01,2,2,14.0,28262,0,0,0,5
140,product-catalog-test-user-05,0,2,14.0,28876,0,0,0,5
141,product-catalog-test-user-06,12,2,14.0,28876,0,0,0,5
142,product-catalog-test-user-02,12,3,14.0,28876,0,0,0,5
143,abnormal-test-user-02,11,1,25.0,50995,0,0,0,8
144,abnormal-test-user-01,22,2,25.0,50995,0,0,0,8
145,abnormal-latest,7,3,27.0,54067,0,0,0,8
146,abnormal-test-user-03,15,1,27.0,54067,0,0,0,8
147,s3-sync-dev,3,2,28.0,41779,0,0,0,8
148,s3-sync-test,6,3,28.0,41779,0,0,0,8
149,vcrbt-demo-21m,15,2,46.0,56524,0,0,0,8
150,investigate-mda-master,1,2,1.0,2457,0,1,1,6
151,mano-multi-site-2,15,2,1.0,2457,0,1,1,8
152,mda-da-test,20,2,1.0,2457,0,1,1,2
153,auto-pat,15,1,4.0,22118,0,1,1,6
154,mano-epc-2024,14,2,7.5,39321,0,1,1,8
155,mda,20,2,16.0,51609,0,1,1,9
156,mano-ocs-2025,10,2,22.0,132710,0,1,1,12
157,mano-multi-site-1,11,2,30.0,194150,0,1,1,12
158,mano-ocs-testbed,16,2,30.0,203980,0,1,1,12
159,mano-epc-2023,4,2,39.5,210124,0,1,1,12
160,mano-sdc,14,1,44.0,267878,0,1,1,12
161,mano-ocs-2022,9,2,55.0,313344,0,1,1,12
162,mano-ocs-2023,17,2,62.0,346521,0,1,1,12
163,strimzi,16,1,1.0,460,0,1,2,1
164,offline-st,3,1,1.0,2457,0,1,2,8
165,voice-st,4,1,1.0,2457,0,1,2,8
166,event-st,21,2,2.0,2457,0,1,2,8
167,s3-sync-vim03,10,3,4.0,4915,0,1,2,6
168,service-test,2,2,4.0,8601,0,1,2,12
169,pro-hlc-demo3,3,3,8.0,15974,0,1,2,8
170,provisioning,10,1,16.0,30720,0,1,2,12
171,data4g,21,2,32.0,73728,0,1,2,12
