timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,152.0,383875.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,3,pat-171,600.0,1616261.0,512,0.0,0,0,0,0.0,0.0,0.0,0.0
1,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,0.25
1,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,0.25
2,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,0.5
2,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,0.5
3,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,0.75
3,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,0.75
4,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,1.0
4,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,1.0
5,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,1.25
5,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,1.25
6,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,1.5
6,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,1.5
