id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
0,abm-100m,181,240,3.0,6758,0,0,0,4
1,abm-100m-migration-01,1501,60,4.0,8601,0,0,0,4
2,abm-2m-migration-01,781,120,9.0,19046,0,0,0,5
3,abm-2m-migration-02,361,240,9.0,19046,0,0,0,5
4,abm-cntt-100m,661,240,3.0,6758,0,0,0,4
5,abm-common,61,60,4.0,9216,0,0,0,4
6,abm-common-02,4441,180,3.0,6144,0,0,0,4
7,abm-common-03,1261,120,9.0,19046,0,0,0,5
8,abm-latest,1321,120,9.0,18432,0,0,0,5
9,abm-mysign,2641,180,9.0,19046,0,0,0,5
10,abm-sws-pr-tiennn,421,240,3.0,6758,0,0,0,4
11,abm-test-user-01,421,120,2.0,19046,0,0,0,5
12,abm-test-user-02,121,240,6.0,18432,0,0,0,5
13,abnormal-latest,301,240,27.0,54067,0,0,0,8
14,abnormal-test-user-01,121,60,25.0,50995,0,0,0,8
15,abnormal-test-user-02,2461,60,25.0,50995,0,0,0,8
16,abnormal-test-user-03,421,240,27.0,54067,0,0,0,8
17,cdrgen-test-user-01,4981,180,4.0,9216,0,0,0,5
18,cdrgen-test-user-02,1,60,4.0,9216,0,0,0,5
19,cdrgen-test-user-03,1861,120,4.0,9216,0,0,0,5
20,chp-convergent-bypass-tpscontrol-test-user-01,781,180,4.0,9216,0,0,0,5
21,chp-convergent-test-user-01,901,60,4.0,9216,0,0,0,5
22,chp-convergent-test-user-02,481,240,4.0,9216,0,0,0,5
23,chp-convergent-test-user-03,1921,60,4.0,9216,0,0,0,5
24,chp-event-latest,1741,180,4.0,9216,0,0,0,5
25,chp-event-test-user-01,901,180,4.0,9216,0,0,0,5
26,chp-event-test-user-02,61,180,4.0,8601,0,0,0,5
27,chp-event-test-user-03,241,240,4.0,9216,0,0,0,5
28,chp-event-test-user-04,721,240,4.0,9216,0,0,0,5
29,chp-ftth-test-user-01,661,180,9.0,18432,0,0,0,6
30,chp-ftth-test-user-03,1201,180,4.0,9216,0,0,0,5
31,chp-ftth-test-user-04,1501,60,4.0,9216,0,0,0,5
32,chp-gy-latest,1501,120,6.0,13516,0,0,0,5
33,chp-gy-test-user-01,301,120,4.0,9216,0,0,0,5
34,chp-gy-test-user-02,2461,240,4.0,9216,0,0,0,5
35,chp-gy-test-user-03,1861,60,4.0,9216,0,0,0,5
36,chp-gy-test-user-05,781,240,4.0,9216,0,0,0,5
37,chp-voice-hp-test-user-01,1261,120,6.0,12288,0,0,0,5
38,chp-voice-hp-test-user-02,1381,120,4.0,9216,0,0,0,5
39,chp-voice-latest,2521,180,9.0,19660,0,0,0,6
40,chp-voice-performance,1741,60,10.0,22118,0,0,0,6
41,chp-voice-pstn-online-test-user-01,421,60,6.0,12288,0,0,0,5
