timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,152.0,383875.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,3,pat-171,600.0,1616261.0,512,0.0,0,0,0,0.0,0.0,0.0,0.0
1,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,0.25
1,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,0.25
2,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,0.5
2,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,0.5
3,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,0.75
3,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,0.75
4,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,1.0
4,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,1.0
5,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,1.25
5,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,1.25
6,0,k8s-cicd,152.0,383875.0,0,81.0,231626,0,17,53.289473684210535,60.338912406382285,0.0,1.5
6,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,3,pat-171,600.0,1616261.0,512,10.0,22118,6,1,1.6666666666666667,1.368467097826403,1.171875,1.5
