id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
157,mano-ocs-2023,1021,144,62.0,346521,0,1,1,12
156,mano-ocs-2022,541,144,55.0,313344,0,1,1,12
160,mano-sdc,811,60,44.0,267878,0,1,1,12
152,mano-epc-2023,241,144,39.5,210124,0,1,1,12
159,mano-ocs-testbed,961,96,30.0,203980,0,1,1,12
154,mano-multi-site-1,641,96,30.0,194150,0,1,1,12
158,mano-ocs-2025,611,144,22.0,132710,0,1,1,12
195,pro-hlc,481,300,27.0,83116,40,1,3,40
204,tiennn18-mesh,901,180,36.0,71270,0,1,3,12
163,data4g,1261,120,32.0,73728,0,1,2,12
140,vcrbt-demo-21m,901,120,46.0,56524,0,0,0,8
200,test-sriov,181,420,26.0,66969,14,1,3,40
13,abnormal-latest,421,180,27.0,54067,0,0,0,8
16,abnormal-test-user-03,901,60,27.0,54067,0,0,0,8
193,pro-hht,121,480,22.0,58982,36,1,3,40
15,abnormal-test-user-02,661,60,25.0,50995,0,0,0,8
14,abnormal-test-user-01,1290,120,25.0,50995,0,0,0,8
132,s3-sync-test,361,180,28.0,41779,0,0,0,8
131,s3-sync-dev,181,120,28.0,41779,0,0,0,8
192,offline-cnf1,121,300,20.0,49152,24,1,3,40
161,mda,1201,96,16.0,51609,0,1,1,9
139,test-service-user-01,1259,180,2.0,62054,0,0,0,8
198,sync-file,841,180,24.0,36864,0,1,3,12
153,mano-epc-2024,841,144,7.5,39321,0,1,1,8
167,provisioning,601,60,16.0,30720,0,1,2,12
94,product-catalog-test-user-06,721,120,14.0,28876,0,0,0,5
90,product-catalog-test-user-02,721,180,14.0,28876,0,0,0,5
93,product-catalog-test-user-05,1,120,14.0,28876,0,0,0,5
89,product-catalog-test-user-01,121,120,14.0,28262,0,0,0,5
85,product-catalog-latest,660,60,13.0,26419,0,0,0,5
105,provisioning-latest,601,180,12.0,25804,0,0,0,6
206,tool-test-restful-bypass,1,420,10.0,22118,6,1,3,28
40,chp-voice-performance,1110,120,10.0,22118,0,0,0,6
71,mediation-pstn-test-user-01,721,180,10.0,21504,0,0,0,6
141,voice-nr-test-user-01,121,60,10.0,21504,0,0,0,6
142,voice-nr-test-user-02,301,120,10.0,21504,0,0,0,6
111,provisioning-test-user-03,241,180,10.0,20275,0,0,0,6
114,provisioning-test-user-07,721,120,10.0,20275,0,0,0,6
108,provisioning-mysign-test-user-02,121,120,10.0,20275,0,0,0,6
143,volte-latest,1050,60,10.0,20275,0,0,0,6
144,volte-test-user-01,1201,120,10.0,20275,0,0,0,6
92,product-catalog-test-user-04,421,120,10.0,20275,0,0,0,5
145,volte-test-user-02,481,180,10.0,20275,0,0,0,6
146,volte-test-user-03,301,120,10.0,20275,0,0,0,6
45,chp-voice-test-user-02,721,120,9.0,19660,0,0,0,6
44,chp-voice-test-user-01,1,60,9.0,19660,0,0,0,6
46,chp-voice-test-user-03,901,120,9.0,19660,0,0,0,6
48,chp-voice-test-user-06,181,180,9.0,19660,0,0,0,6
39,chp-voice-latest,181,180,9.0,19660,0,0,0,6
47,chp-voice-test-user-04,601,180,9.0,19660,0,0,0,6
3,abm-2m-migration-02,1020,60,9.0,19046,0,0,0,5
7,abm-common-03,1141,60,9.0,19046,0,0,0,5
2,abm-2m-migration-01,421,60,9.0,19046,0,0,0,5
9,abm-mysign,241,60,9.0,19046,0,0,0,5
116,provisioning-test-user-09,541,120,9.0,18432,0,0,0,6
29,chp-ftth-test-user-01,1170,60,9.0,18432,0,0,0,6
8,abm-latest,541,120,9.0,18432,0,0,0,5
