id,default_cluster,cpu_req,mem_req,vf_req,mano_req,start_time,duration,relocation_cost
1,1,374,1104,0,0,9,5,2
2,0,78,188,0,1,39,7,3
3,1,150,528,0,1,27,12,2
4,2,215,373,0,0,8,10,1
5,2,45,93,0,0,48,1,1
6,0,124,522,0,1,24,12,2
7,0,33,68,0,0,23,4,2
8,0,51,85,105,0,41,4,3
9,0,151,426,0,1,23,10,2
10,2,62,93,0,0,45,2,1
11,1,93,231,0,0,42,10,2
12,0,28,164,0,1,46,1,3
13,2,161,419,0,0,26,2,2
14,1,44,288,0,0,39,5,2
15,1,383,1009,0,0,12,5,2
16,0,323,782,0,0,11,2,2
17,1,202,443,0,0,8,12,2
18,0,43,72,0,1,32,4,2
19,2,31,182,0,0,23,1,1
20,1,97,178,0,0,26,7,1
21,0,90,189,0,1,42,7,2
22,1,28,195,0,0,27,3,1
23,0,56,104,0,0,46,3,2
24,0,236,584,0,1,12,2,4
25,1,109,161,0,0,40,12,1
26,2,25,119,0,0,7,5,2
27,0,208,451,0,0,11,10,2
28,1,85,142,0,0,38,5,1
29,0,126,366,0,0,23,2,1
30,0,209,427,30,1,10,5,3
31,0,62,209,0,1,40,10,3
32,0,121,337,0,1,24,10,2
33,0,198,337,0,1,10,7,3
34,0,30,123,0,0,9,4,2
35,2,59,66,0,0,12,5,2
36,1,86,288,0,0,26,5,1
37,0,80,266,0,1,40,5,2
38,2,113,299,0,0,27,10,1
39,0,38,246,61,1,40,12,3
40,1,36,81,0,0,26,1,2
