timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,272,768,160,0,0,0,0,0.0,0.0,0.0,0.0
0,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,256,704,0,0,0,0,0,0.0,0.0,0.0,0.0
1,0,k8s-cicd,272,768,160,0,0,0,0,0.0,0.0,0.0,0.25
1,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,0.25
1,2,pat-141,256,704,0,0,0,0,0,0.0,0.0,0.0,0.25
2,0,k8s-cicd,272,768,160,0,0,0,0,0.0,0.0,0.0,0.5
2,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,0.5
2,2,pat-141,256,704,0,0,0,0,0,0.0,0.0,0.0,0.5
3,0,k8s-cicd,272,768,160,0,0,0,0,0.0,0.0,0.0,0.75
3,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,0.75
3,2,pat-141,256,704,0,151,473,0,2,58.984375,67.1875,0.0,0.75
4,0,k8s-cicd,272,768,160,0,0,0,0,0.0,0.0,0.0,1.0
4,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,1.0
4,2,pat-141,256,704,0,151,473,0,2,58.984375,67.1875,0.0,1.0
5,0,k8s-cicd,272,768,160,120,249,59,1,44.11764705882353,32.421875,36.875,1.25
5,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,1.25
5,2,pat-141,256,704,0,44,169,0,1,17.1875,24.005681818181817,0.0,1.25
6,0,k8s-cicd,272,768,160,120,249,59,1,44.11764705882353,32.421875,36.875,1.5
6,1,k8s-mano,304,832,0,65,176,0,2,21.38157894736842,21.153846153846153,0.0,1.5
6,2,pat-141,256,704,0,44,169,0,1,17.1875,24.005681818181817,0.0,1.5
7,0,k8s-cicd,272,768,160,213,517,59,2,78.30882352941177,67.31770833333334,36.875,1.75
7,1,k8s-mano,304,832,0,83,297,0,3,27.302631578947366,35.69711538461539,0.0,1.75
7,2,pat-141,256,704,0,0,0,0,0,0.0,0.0,0.0,1.75
8,0,k8s-cicd,272,768,160,213,517,59,2,78.30882352941177,67.31770833333334,36.875,2.0
8,1,k8s-mano,304,832,0,83,297,0,3,27.302631578947366,35.69711538461539,0.0,2.0
8,2,pat-141,256,704,0,0,0,0,0,0.0,0.0,0.0,2.0
9,0,k8s-cicd,272,768,160,213,517,59,2,78.30882352941177,67.31770833333334,36.875,2.25
9,1,k8s-mano,304,832,0,65,176,0,2,21.38157894736842,21.153846153846153,0.0,2.25
9,2,pat-141,256,704,0,29,65,0,1,11.328125,9.232954545454545,0.0,2.25
10,0,k8s-cicd,272,768,160,93,268,0,1,34.19117647058824,34.89583333333333,0.0,2.5
10,1,k8s-mano,304,832,0,26,80,0,1,8.552631578947368,9.615384615384617,0.0,2.5
10,2,pat-141,256,704,0,29,65,0,1,11.328125,9.232954545454545,0.0,2.5
11,0,k8s-cicd,272,768,160,93,268,0,1,34.19117647058824,34.89583333333333,0.0,2.75
11,1,k8s-mano,304,832,0,0,0,0,0,0.0,0.0,0.0,2.75
11,2,pat-141,256,704,0,277,633,0,4,108.203125,89.91477272727273,0.0,2.75
12,0,k8s-cicd,272,768,160,93,268,0,1,34.19117647058824,34.89583333333333,0.0,3.0
12,1,k8s-mano,304,832,0,18,97,0,1,5.921052631578947,11.658653846153847,0.0,3.0
12,2,pat-141,256,704,0,272,606,0,4,106.25,86.07954545454545,0.0,3.0
13,0,k8s-cicd,272,768,160,93,268,0,1,34.19117647058824,34.89583333333333,0.0,3.25
13,1,k8s-mano,304,832,0,18,97,0,1,5.921052631578947,11.658653846153847,0.0,3.25
13,2,pat-141,256,704,0,217,424,0,4,84.765625,60.22727272727273,0.0,3.25
14,0,k8s-cicd,272,768,160,109,361,0,2,40.07352941176471,47.00520833333333,0.0,3.5
14,1,k8s-mano,304,832,0,18,97,0,1,5.921052631578947,11.658653846153847,0.0,3.5
14,2,pat-141,256,704,0,217,424,0,4,84.765625,60.22727272727273,0.0,3.5
15,0,k8s-cicd,272,768,160,93,268,0,1,34.19117647058824,34.89583333333333,0.0,3.75
