id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
0,product-catalog-mysign,5,2,1.0,3072,0,0,0,2
1,mdm-test-feature-user-01,6,2,1.0,3072,0,0,0,2
2,mediation-test-user-01,8,4,1.0,3072,0,0,0,2
3,product-catalog,12,3,1.0,3072,0,0,0,2
4,product-catalog-100m-cdbr,18,3,1.0,3072,0,0,0,2
5,mdm-test-user-01,26,3,1.0,3072,0,0,0,2
6,product-catalog-100m-sws,30,2,1.0,3072,0,0,0,2
7,nfvi,2,2,1.0,4915,0,0,0,2
8,rating-latest,2,1,1.0,6144,0,0,0,3
9,rating-test-user-01,14,4,1.0,6144,0,0,0,3
10,rating-test-user-02,19,2,1.0,6144,0,0,0,3
11,rating-test-user-03,45,3,1.0,6144,0,0,0,3
12,recurring-policy-test-user-03,10,1,1.0,12288,0,0,0,5
13,recurring-test-user-os1,8,2,1.0,12902,0,0,0,5
14,recurring-test-user-100,46,4,1.0,12902,0,0,0,5
15,scanapp-test-user-05,12,1,1.0,15360,0,0,0,6
16,recurring-policy-test-user-02,5,2,1.0,15974,0,0,0,5
17,recurring-policy-test-user-05,16,1,1.0,15974,0,0,0,5
18,event-processer-user-01,0,4,1.0,18432,0,0,0,6
19,scanapp-test-user-01,4,3,1.0,18432,0,0,0,6
20,scanapp-test-user-06,7,1,1.0,18432,0,0,0,6
21,scanapp-test-user-03,12,1,1.0,18432,0,0,0,6
22,event-processor-user-06,15,3,1.0,18432,0,0,0,6
23,recurring-policy-test-user-01,16,4,1.0,18432,0,0,0,5
24,event-processor-latest,21,3,1.0,18432,0,0,0,6
25,event-processor-user-05,25,3,1.0,18432,0,0,0,6
26,event-processor-user-02,37,3,1.0,18432,0,0,0,6
27,scanapp-latest,64,4,1.0,18432,0,0,0,6
28,recurring-policy-latest,45,2,1.0,19660,0,0,0,5
29,scanapp-test-user-02,33,4,1.0,20889,0,0,0,6
30,devops-vsm-staging,26,1,2.0,2457,0,0,0,2
31,recurring-policy-test-user-04,4,2,2.0,15974,0,0,0,5
32,abm-test-user-01,7,2,2.0,19046,0,0,0,5
33,event-processor-user-01,55,4,2.0,22118,0,0,0,6
34,test-service-user-01,16,1,2.0,62054,0,0,0,8
35,custhis-test-user-01,0,1,3.0,6144,0,0,0,4
36,webocs-custhis-1,12,3,3.0,6144,0,0,0,4
37,custhis-test-user-02,32,1,3.0,6144,0,0,0,4
38,abm-common-02,74,3,3.0,6144,0,0,0,4
39,abm-100m,3,4,3.0,6758,0,0,0,4
40,abm-sws-pr-tiennn,7,4,3.0,6758,0,0,0,4
41,abm-cntt-100m,11,4,3.0,6758,0,0,0,4
42,devops-vsm,23,4,4.0,1843,0,0,0,2
43,devops-vsm-test-01,6,3,4.0,4915,0,0,0,4
44,devops-vsm-dev-3,7,3,4.0,4915,0,0,0,4
45,devops-vsm-dev-1,24,4,4.0,4915,0,0,0,4
46,devops-vsm-dev-2,53,2,4.0,4915,0,0,0,4
47,webocs-product-1,8,3,4.0,7987,0,0,0,4
48,chp-event-test-user-02,1,3,4.0,8601,0,0,0,5
49,abm-100m-migration-01,25,1,4.0,8601,0,0,0,4
50,cdrgen-test-user-02,0,1,4.0,9216,0,0,0,5
51,cleaning-test-user-01,0,1,4.0,9216,0,0,0,5
52,abm-common,1,1,4.0,9216,0,0,0,4
53,refund-test-user-03,1,2,4.0,9216,0,0,0,5
54,pcp-gx-test-user-04,3,3,4.0,9216,0,0,0,5
55,chp-event-test-user-03,4,4,4.0,9216,0,0,0,5
56,chp-gy-test-user-01,5,2,4.0,9216,0,0,0,5
57,cleaning-test-user-02,5,3,4.0,9216,0,0,0,5
58,cleaning-latest,7,1,4.0,9216,0,0,0,5
59,chp-convergent-test-user-02,8,4,4.0,9216,0,0,0,5
60,product-catalog-load-rating-test-user-02,10,1,4.0,9216,0,0,0,5
61,chp-event-test-user-04,12,4,4.0,9216,0,0,0,5
62,chp-convergent-bypass-tpscontrol-test-user-01,13,3,4.0,9216,0,0,0,5
63,chp-gy-test-user-05,13,4,4.0,9216,0,0,0,5
64,chp-convergent-test-user-01,15,1,4.0,9216,0,0,0,5
65,chp-event-test-user-01,15,3,4.0,9216,0,0,0,5
66,chp-ftth-test-user-03,20,3,4.0,9216,0,0,0,5
67,chp-voice-hp-test-user-02,23,2,4.0,9216,0,0,0,5
68,pcp-smpolicy-test-user-02,24,1,4.0,9216,0,0,0,5
69,chp-ftth-test-user-04,25,1,4.0,9216,0,0,0,5
70,product-catalog-load-rating-test-user-01,27,4,4.0,9216,0,0,0,5
71,chp-event-latest,29,3,4.0,9216,0,0,0,5
72,cdrgen-test-user-03,31,2,4.0,9216,0,0,0,5
73,chp-gy-test-user-03,31,1,4.0,9216,0,0,0,5
74,chp-convergent-test-user-03,32,1,4.0,9216,0,0,0,5
75,chp-gy-test-user-02,41,4,4.0,9216,0,0,0,5
76,cdrgen-test-user-01,83,3,4.0,9216,0,0,0,5
77,event-processor-user-04,0,3,4.0,20275,0,0,0,6
78,event-processor-user-03,16,3,4.0,20889,0,0,0,6
79,pcp-smpolicy-bypass-tpscontrol-test-user-01,1,2,5.0,10444,0,0,0,5
80,pcp-smpolicy-test-user-03,15,2,5.0,10444,0,0,0,5
81,pcp-smpolicy-test-user-01,19,1,5.0,10444,0,0,0,5
82,provisioning-mysign-100m-test-user-01,21,3,5.0,11059,0,0,0,5
83,pcp-gx-test-user-05,46,4,5.0,11059,0,0,0,5
84,recurring-policy-test-user-06,29,4,5.0,19660,0,0,0,5
85,pcp-gx-latest,1,3,6.0,12288,0,0,0,5
86,provisioning-100m-test-user-02,5,1,6.0,12288,0,0,0,5
87,chp-voice-pstn-online-test-user-01,7,1,6.0,12288,0,0,0,5
88,provisioning-test-user-08,15,2,6.0,12288,0,0,0,5
89,chp-voice-hp-test-user-01,21,2,6.0,12288,0,0,0,5
90,gx-pcp-test-user-02,21,2,6.0,12288,0,0,0,5
91,provisioning-100m-test-user-01,21,3,6.0,12288,0,0,0,5
92,chp-voice-pstn-online-test-user-02,24,3,6.0,12288,0,0,0,5
93,chp-voice-pstn-online-test-user-03,35,4,6.0,12288,0,0,0,5
94,pcp-gx-test-user-01,36,3,6.0,12288,0,0,0,5
95,chp-gy-latest,25,2,6.0,13516,0,0,0,5
96,abm-test-user-02,2,4,6.0,18432,0,0,0,5
97,provisioning-cdbr-test-user-03,3,2,7.0,14131,0,0,0,5
98,provisioning-cdbr-test-user-04,9,2,7.0,14131,0,0,0,5
99,provisioning-cdbr-test-user-01,12,2,7.0,14131,0,0,0,5
100,provisioning-cdbr-test-user-02,17,3,7.0,14131,0,0,0,5
101,promotion-voice-latest,1,2,7.0,15360,0,0,0,6
102,promotion-voice-user-01,2,2,7.0,15360,0,0,0,6
103,promotion-voice-user-02,3,3,7.0,15360,0,0,0,6
104,provisioning-cdbr-latest,7,4,8.0,15974,0,0,0,5
105,webocs-sso-main,10,2,8.0,15974,0,0,0,5
106,product-catalog-test-user-03,16,3,8.0,16588,0,0,0,5
107,provisioning-test-user-02,9,4,8.0,17203,0,0,0,6
108,provisioning-mysign-test-user-01,11,3,8.0,17203,0,0,0,6
109,provisioning-test-user-01,11,2,8.0,17203,0,0,0,6
110,provisioning-test-user-05,36,2,8.0,17203,0,0,0,6
111,chp-ftth-test-user-01,11,3,9.0,18432,0,0,0,6
112,abm-latest,22,2,9.0,18432,0,0,0,5
113,provisioning-test-user-09,33,3,9.0,18432,0,0,0,6
114,provisioning-test-user-04,66,4,9.0,18432,0,0,0,6
115,abm-2m-migration-02,6,4,9.0,19046,0,0,0,5
116,abm-2m-migration-01,13,2,9.0,19046,0,0,0,5
117,abm-common-03,21,2,9.0,19046,0,0,0,5
118,abm-mysign,44,3,9.0,19046,0,0,0,5
119,chp-voice-test-user-03,2,1,9.0,19660,0,0,0,6
120,chp-voice-test-user-02,4,3,9.0,19660,0,0,0,6
121,chp-voice-test-user-06,6,3,9.0,19660,0,0,0,6
122,chp-voice-test-user-04,9,4,9.0,19660,0,0,0,6
