timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,152.0,383875,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,0.0
0,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,3,pat-171,600.0,1616261,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,0.0
1,0,k8s-cicd,152.0,383875,0,63.0,145611,0,9,41.44736842105263,37.93187886681862,0.0,0.25
1,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,3,pat-171,600.0,1616261,512,24.0,63897,36,2,4.0,3.953383766607002,7.03125,0.25
2,0,k8s-cicd,152.0,383875,0,90.0,230397,0,14,59.210526315789465,60.01875610550309,0.0,0.5
2,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,3,pat-171,600.0,1616261,512,24.0,63897,36,2,4.0,3.953383766607002,7.03125,0.5
3,0,k8s-cicd,152.0,383875,0,88.0,210122,0,14,57.89473684210527,54.737088896125044,0.0,0.75
3,1,k8s-mano,240.0,772089,0,101.5,556645,0,2,42.291666666666664,72.0959630301688,0.0,0.75
3,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,3,pat-171,600.0,1616261,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,0.75
4,0,k8s-cicd,152.0,383875,0,87.0,216880,0,13,57.23684210526315,56.49755779876262,0.0,1.0
4,1,k8s-mano,240.0,772089,0,101.5,556645,0,2,42.291666666666664,72.0959630301688,0.0,1.0
4,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,3,pat-171,600.0,1616261,512,23.0,61439,36,2,3.833333333333333,3.801304368539487,7.03125,1.0
5,0,k8s-cicd,152.0,383875,0,89.0,237156,0,15,58.55263157894737,61.77948550960599,0.0,1.25
5,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.25
5,3,pat-171,600.0,1616261,512,23.0,61439,36,2,3.833333333333333,3.801304368539487,7.03125,1.25
6,0,k8s-cicd,152.0,383875,0,133.0,269103,0,15,87.5,70.10172582220775,0.0,1.5
6,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.5
6,3,pat-171,600.0,1616261,512,24.0,62667,40,3,4.0,3.8772821963779367,7.8125,1.5
7,0,k8s-cicd,152.0,383875,0,159.0,316412,0,16,104.60526315789474,82.42578964506674,0.0,1.75
7,1,k8s-mano,240.0,772089,0,45.0,270335,0,2,18.75,35.01345052189579,0.0,1.75
7,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,1.75
7,3,pat-171,600.0,1616261,512,25.0,63896,44,3,4.166666666666666,3.953321895411694,8.59375,1.75
8,0,k8s-cicd,152.0,383875,0,149.0,288149,0,14,98.02631578947368,75.0632367307066,0.0,2.0
8,1,k8s-mano,240.0,772089,0,44.0,267878,0,1,18.333333333333332,34.69522296004735,0.0,2.0
8,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.0
8,3,pat-171,600.0,1616261,512,25.0,63896,44,3,4.166666666666666,3.953321895411694,8.59375,2.0
9,0,k8s-cicd,152.0,383875,0,85.0,184931,0,12,55.92105263157895,48.17479648323022,0.0,2.25
9,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,2.25
9,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.25
9,3,pat-171,600.0,1616261,512,3.0,4914,8,2,0.5,0.3040350537444138,1.5625,2.25
10,0,k8s-cicd,152.0,383875,0,112.0,227325,0,13,73.68421052631578,59.21849560403777,0.0,2.5
10,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,2.5
10,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.5
10,3,pat-171,600.0,1616261,512,8.0,17816,8,4,1.3333333333333335,1.1022972156105977,1.5625,2.5
11,0,k8s-cicd,152.0,383875,0,82.0,174487,0,11,53.94736842105263,45.45411917942038,0.0,2.75
11,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,2.75
11,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,2.75
11,3,pat-171,600.0,1616261,512,8.0,17816,8,4,1.3333333333333335,1.1022972156105977,1.5625,2.75
12,0,k8s-cicd,152.0,383875,0,76.0,191076,0,13,50.0,49.77557798762618,0.0,3.0
12,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,3.0
12,2,pat-141,80.0,385437,0,1.0,460,0,1,1.25,0.11934505509330967,0.0,3.0
12,3,pat-171,600.0,1616261,512,5.0,10443,8,4,0.8333333333333334,0.6461208926033605,1.5625,3.0
13,0,k8s-cicd,152.0,383875,0,66.0,140696,0,11,43.42105263157895,36.65151416476718,0.0,3.25
13,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,3.25
13,2,pat-141,80.0,385437,0,1.0,2457,0,1,1.25,0.6374582616614388,0.0,3.25
13,3,pat-171,600.0,1616261,512,4.0,7371,8,3,0.6666666666666667,0.4560525806166207,1.5625,3.25
14,0,k8s-cicd,152.0,383875,0,39.0,89087,0,9,25.657894736842106,23.20729404102898,0.0,3.5
14,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,3.5
14,2,pat-141,80.0,385437,0,1.0,2457,0,1,1.25,0.6374582616614388,0.0,3.5
14,3,pat-171,600.0,1616261,512,7.0,14742,8,6,1.1666666666666667,0.9121051612332414,1.5625,3.5
15,0,k8s-cicd,152.0,383875,0,33.0,93388,0,9,21.710526315789476,24.32771084337349,0.0,3.75
15,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,3,pat-171,600.0,1616261,512,7.0,14742,8,6,1.1666666666666667,0.9121051612332414,1.5625,3.75
16,0,k8s-cicd,152.0,383875,0,47.0,219952,0,12,30.92105263157895,57.297818300227945,0.0,4.0
16,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,3,pat-171,600.0,1616261,512,5.0,9828,8,4,0.8333333333333334,0.6080701074888276,1.5625,4.0
17,0,k8s-cicd,152.0,383875,0,60.0,174487,0,10,39.473684210526315,45.45411917942038,0.0,4.25
17,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,3,pat-171,600.0,1616261,512,3.0,6143,4,2,0.5,0.3800747527781713,0.78125,4.25
18,0,k8s-cicd,152.0,383875,0,55.0,143767,0,8,36.18421052631579,37.451514164767175,0.0,4.5
18,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,3,pat-171,600.0,1616261,512,0.0,0,0,0,0.0,0.0,0.0,4.5
19,0,k8s-cicd,152.0,383875,0,25.0,73727,0,6,16.447368421052634,19.205991533702377,0.0,4.75
19,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,3,pat-171,600.0,1616261,512,1.0,2457,0,1,0.16666666666666669,0.1520175268722069,0.0,4.75
20,0,k8s-cicd,152.0,383875,0,16.0,39936,0,4,10.526315789473683,10.40338651904917,0.0,5.0
20,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,3,pat-171,600.0,1616261,512,0.0,0,0,0,0.0,0.0,0.0,5.0
21,0,k8s-cicd,152.0,383875,0,37.0,94617,0,7,24.342105263157894,24.647867144252686,0.0,5.25
21,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,3,pat-171,600.0,1616261,512,1.0,2457,0,1,0.16666666666666669,0.1520175268722069,0.0,5.25
22,0,k8s-cicd,152.0,383875,0,55.0,132709,0,9,36.18421052631579,34.570888961250404,0.0,5.5
22,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,3,pat-171,600.0,1616261,512,1.0,2457,0,1,0.16666666666666669,0.1520175268722069,0.0,5.5
23,0,k8s-cicd,152.0,383875,0,38.0,90930,0,7,25.0,23.68739824161511,0.0,5.75
23,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,3,pat-171,600.0,1616261,512,0.0,0,0,0,0.0,0.0,0.0,5.75
24,0,k8s-cicd,152.0,383875,0,32.0,57753,0,6,21.052631578947366,15.044741126668837,0.0,6.0
24,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,3,pat-171,600.0,1616261,512,1.0,2457,0,1,0.16666666666666669,0.1520175268722069,0.0,6.0
25,0,k8s-cicd,152.0,383875,0,29.0,68811,0,7,19.078947368421055,17.925366330185607,0.0,6.25
25,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,3,pat-171,600.0,1616261,512,1.0,2457,0,1,0.16666666666666669,0.1520175268722069,0.0,6.25
26,0,k8s-cicd,152.0,383875,0,24.0,56523,0,7,15.789473684210526,14.724324324324325,0.0,6.5
26,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,3,pat-171,600.0,1616261,512,27.0,69426,14,2,4.5,4.295469605465948,2.734375,6.5
27,0,k8s-cicd,152.0,383875,0,10.0,35635,0,4,6.578947368421052,9.282969716704656,0.0,6.75
27,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,6.75
27,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,6.75
27,3,pat-171,600.0,1616261,512,26.0,66969,14,1,4.333333333333334,4.143452078593742,2.734375,6.75
28,0,k8s-cicd,152.0,383875,0,19.0,41164,0,3,12.5,10.723282318463042,0.0,7.0
28,1,k8s-mano,240.0,772089,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,2,pat-141,80.0,385437,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,3,pat-171,600.0,1616261,512,26.0,66969,14,1,4.333333333333334,4.143452078593742,2.734375,7.0
29,0,k8s-cicd,152.0,383875,0,23.0,60210,0,4,15.131578947368421,15.6847932269619,0.0,7.25
