id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
0,product-catalog-mysign,2,1,1.0,3072,0,0,0,2
1,product-catalog,5,1,1.0,3072,0,0,0,2
2,product-catalog-100m-sws,12,1,1.0,3072,0,0,0,2
3,rating-test-user-01,6,2,1.0,6144,0,0,0,3
4,recurring-policy-test-user-03,4,1,1.0,12288,0,0,0,5
5,scanapp-test-user-05,5,1,1.0,15360,0,0,0,6
6,event-processer-user-01,0,2,1.0,18432,0,0,0,6
7,scanapp-test-user-03,5,1,1.0,18432,0,0,0,6
8,event-processor-latest,8,1,1.0,18432,0,0,0,6
9,scanapp-latest,26,2,1.0,18432,0,0,0,6
10,devops-vsm-staging,10,1,2.0,2457,0,0,0,2
11,event-processor-user-01,22,2,2.0,22118,0,0,0,6
12,webocs-custhis-1,5,1,3.0,6144,0,0,0,4
13,abm-100m,1,2,3.0,6758,0,0,0,4
14,devops-vsm,9,2,4.0,1843,0,0,0,2
15,devops-vsm-dev-1,10,2,4.0,4915,0,0,0,4
16,chp-event-test-user-02,0,1,4.0,8601,0,0,0,5
17,cleaning-test-user-01,0,1,4.0,9216,0,0,0,5
18,pcp-gx-test-user-04,1,1,4.0,9216,0,0,0,5
19,cleaning-test-user-02,2,1,4.0,9216,0,0,0,5
20,product-catalog-load-rating-test-user-02,4,1,4.0,9216,0,0,0,5
21,chp-gy-test-user-05,5,2,4.0,9216,0,0,0,5
22,chp-ftth-test-user-03,8,1,4.0,9216,0,0,0,5
23,chp-ftth-test-user-04,10,1,4.0,9216,0,0,0,5
24,cdrgen-test-user-03,12,1,4.0,9216,0,0,0,5
25,chp-gy-test-user-02,16,2,4.0,9216,0,0,0,5
26,event-processor-user-03,6,1,4.0,20889,0,0,0,6
27,pcp-smpolicy-test-user-01,8,1,5.0,10444,0,0,0,5
28,recurring-policy-test-user-06,12,2,5.0,19660,0,0,0,5
29,chp-voice-pstn-online-test-user-01,3,1,6.0,12288,0,0,0,5
30,gx-pcp-test-user-02,8,1,6.0,12288,0,0,0,5
31,chp-voice-pstn-online-test-user-03,14,2,6.0,12288,0,0,0,5
32,abm-test-user-02,1,2,6.0,18432,0,0,0,5
33,provisioning-cdbr-test-user-01,5,1,7.0,14131,0,0,0,5
34,promotion-voice-user-01,1,1,7.0,15360,0,0,0,6
35,webocs-sso-main,4,1,8.0,15974,0,0,0,5
36,provisioning-mysign-test-user-01,4,1,8.0,17203,0,0,0,6
37,chp-ftth-test-user-01,4,1,9.0,18432,0,0,0,6
38,provisioning-test-user-04,26,2,9.0,18432,0,0,0,6
39,abm-common-03,8,1,9.0,19046,0,0,0,5
40,chp-voice-test-user-02,2,1,9.0,19660,0,0,0,6
41,chp-voice-test-user-01,9,1,9.0,19660,0,0,0,6
42,provisioning-mysign-test-user-02,1,2,10.0,20275,0,0,0,6
43,product-catalog-test-user-04,6,1,10.0,20275,0,0,0,5
44,volte-latest,14,1,10.0,20275,0,0,0,6
45,investigate-mda-master,3,1,1.0,2457,0,1,1,6
46,mano-epc-2024,27,1,7.5,39321,0,1,1,8
47,mano-ocs-testbed,32,1,30.0,203980,0,1,1,12
48,strimzi,5,1,1.0,460,0,1,2,1
49,s3-sync-vim03,28,1,4.0,4915,0,1,2,6
50,duongnv21,24,2,1.0,460,0,1,3,1
51,sondn16,20,4,1.0,1228,4,1,3,6
52,hoaitest,6,1,1.0,2457,0,1,3,3
53,test123,8,1,1.0,2457,0,1,3,4
54,developing-payment-platform-center,10,1,1.0,2457,0,1,3,3
55,mano-agent-pat01,15,1,1.0,2457,0,1,3,8
56,mano-agent-1709,25,1,1.0,2457,0,1,3,3
57,100m-test,3,4,2.0,3686,4,1,3,13
58,ducnm124,32,1,2.0,4915,0,1,3,4
59,vmclient,4,1,4.0,9830,0,1,3,7
60,tool-test-restful-bypass,34,4,10.0,22118,6,1,3,28
