timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,k8s-cicd,45.60000000000001,115160,0,9.0,36249,0,3,19.736842105263154,31.477075373393536,0.0,0.0
0,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,0.0
1,0,k8s-cicd,45.60000000000001,115160,0,31.0,88473,0,6,67.98245614035086,76.82615491490101,0.0,0.25
1,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,0.25
1,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,0.25
2,0,k8s-cicd,45.60000000000001,115160,0,33.0,77413,0,6,72.36842105263158,67.22212573810351,0.0,0.5
2,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,0.5
2,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,0.5
3,0,k8s-cicd,45.60000000000001,115160,0,6.0,12288,0,1,13.157894736842103,10.670371656825287,0.0,0.75
3,1,k8s-mano,72.0,231627,0,1.0,2457,0,1,1.3888888888888888,1.0607571656154076,0.0,0.75
3,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,0.75
3,3,pat-171,180.0,484878,152,2.0,3686,4,1,1.1111111111111112,0.760191223359278,2.631578947368421,0.75
4,0,k8s-cicd,45.60000000000001,115160,0,30.0,73113,0,5,65.7894736842105,63.4881903438694,0.0,1.0
4,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,3,pat-171,180.0,484878,152,6.0,13516,4,2,3.3333333333333335,2.7875053106142165,2.631578947368421,1.0
