id,default_cluster,cpu_req,mem_req,vf_req,mano_req,start_time,duration,relocation_cost
1,4,3,7,0,0,19,1,2
2,3,61,137,0,0,2,5,2
3,4,10,18,0,0,20,1,1
4,4,6,20,0,0,1,3,2
5,1,81,263,0,1,10,1,3
6,1,26,55,0,0,17,1,2
7,3,34,91,0,0,5,5,1
8,3,17,35,0,0,12,4,1
9,3,61,185,0,0,13,3,2
10,2,38,94,0,0,12,1,2
11,2,28,59,0,0,14,5,1
12,1,21,60,0,0,15,3,2
13,3,33,46,0,0,13,4,2
14,2,30,54,0,0,9,3,1
15,2,34,71,0,1,3,2,2
16,4,18,34,0,0,17,4,2
17,4,8,17,0,0,2,1,1
18,4,2,6,0,0,10,5,2
19,1,82,225,0,0,12,1,1
20,3,23,38,0,0,7,1,2
21,1,29,51,0,0,7,3,2
22,3,37,69,0,0,2,1,1
23,2,43,89,0,0,5,5,2
24,2,28,43,0,0,18,1,2
25,1,16,90,58,0,13,5,2
