id,default_cluster,cpu_req,mem_req,vf_req,mano_req,start_time,duration,relocation_cost
0,2,30,52,4,0,22,4,2
1,2,15,32,6,0,7,7,3
2,2,27,58,0,0,18,6,3
3,2,22,71,0,0,5,6,3
4,2,9,19,7,0,20,2,3
5,2,20,32,0,0,1,7,4
6,2,10,15,0,0,10,5,2
7,2,5,12,0,0,6,6,2
8,2,5,6,0,0,25,3,4
9,2,3,6,0,0,4,4,3
10,2,1,5,0,0,3,8,4
11,2,2,3,7,0,7,6,4
12,2,1,1,0,0,17,5,2
13,2,1,1,1,0,3,7,4
14,2,1,1,5,0,22,5,2
15,2,1,1,0,0,16,8,3
16,0,87,108,0,0,13,7,3
17,0,20,44,3,0,9,5,2
18,0,41,75,1,0,3,8,2
19,0,10,28,0,1,13,2,3
20,0,17,94,0,1,18,7,4
21,0,4,25,1,0,24,4,2
22,0,12,25,0,1,17,2,2
23,0,8,37,4,1,19,6,2
24,0,6,23,0,0,7,7,4
