id,default_cluster,cpu_req,mem_req,vf_req,mano_req,start_time,duration,relocation_cost
0,0,18,70,0,0,7,4,1
1,3,7,27,0,0,25,2,1
2,4,11,61,0,1,16,6,1
3,2,21,31,0,0,13,4,2
4,0,18,51,4,1,8,6,1
5,1,27,66,0,0,8,7,3
6,0,72,147,1,1,24,4,3
7,2,46,97,0,0,7,7,3
8,4,17,27,0,1,7,3,1
9,1,13,53,0,0,24,5,2
10,3,14,20,0,0,13,4,2
11,1,16,49,0,1,3,3,2
12,4,12,47,0,1,8,7,1
13,2,35,50,4,0,16,3,3
14,3,9,31,0,0,7,6,1
15,0,74,127,4,0,23,3,3
16,1,41,103,0,0,6,5,3
17,4,25,52,0,0,14,4,2
18,2,20,18,0,0,17,7,2
19,4,55,158,0,1,13,2,3
20,0,18,55,3,1,7,4,1
21,3,14,20,0,0,23,3,2
22,2,30,77,6,0,6,7,2
23,3,19,41,0,0,4,3,2
24,1,9,51,0,1,7,4,1
