id,name,start_time,duration,cpu_req,mem_req,vf_req,mano_req,default_cluster,relocation_cost
0,product-catalog-mysign,2,1,1.0,3072,0,0,0,2
1,mdm-test-user-01,10,1,1.0,3072,0,0,0,2
2,rating-test-user-02,8,1,1.0,6144,0,0,0,3
3,scanapp-test-user-05,5,1,1.0,15360,0,0,0,6
4,scanapp-test-user-06,3,1,1.0,18432,0,0,0,6
5,event-processor-user-05,10,1,1.0,18432,0,0,0,6
6,devops-vsm-staging,10,1,2.0,2457,0,0,0,2
7,custhis-test-user-01,0,1,3.0,6144,0,0,0,4
8,abm-sws-pr-tiennn,3,2,3.0,6758,0,0,0,4
9,devops-vsm-dev-1,10,2,4.0,4915,0,0,0,4
10,cdrgen-test-user-02,0,1,4.0,9216,0,0,0,5
11,chp-event-test-user-03,2,2,4.0,9216,0,0,0,5
12,product-catalog-load-rating-test-user-02,4,1,4.0,9216,0,0,0,5
13,chp-event-test-user-01,6,1,4.0,9216,0,0,0,5
14,product-catalog-load-rating-test-user-01,11,2,4.0,9216,0,0,0,5
15,chp-gy-test-user-02,16,2,4.0,9216,0,0,0,5
16,pcp-smpolicy-test-user-03,6,1,5.0,10444,0,0,0,5
17,pcp-gx-latest,0,1,6.0,12288,0,0,0,5
18,gx-pcp-test-user-02,8,1,6.0,12288,0,0,0,5
19,chp-gy-latest,10,1,6.0,13516,0,0,0,5
20,provisioning-cdbr-test-user-02,7,1,7.0,14131,0,0,0,5
21,webocs-sso-main,4,1,8.0,15974,0,0,0,5
22,provisioning-test-user-05,14,1,8.0,17203,0,0,0,6
23,abm-2m-migration-02,2,2,9.0,19046,0,0,0,5
24,chp-voice-test-user-02,2,1,9.0,19660,0,0,0,6
25,volte-test-user-02,1,1,10.0,20275,0,0,0,6
26,volte-test-user-03,10,1,10.0,20275,0,0,0,6
27,mediation-pstn-test-user-01,16,2,10.0,21504,0,0,0,6
28,product-catalog-test-user-02,2,1,14.0,28876,0,0,0,5
29,abnormal-latest,2,2,27.0,54067,0,0,0,8
30,investigate-mda-master,3,1,1.0,2457,0,1,1,6
31,mano-ocs-2025,27,1,22.0,132710,0,1,1,12
32,strimzi,5,1,1.0,460,0,1,0,1
33,duongnv21,24,2,1.0,460,0,1,2,1
34,manogenerated,5,2,1.0,2457,0,1,2,3
35,minh-ns10,8,1,1.0,2457,0,1,2,2
36,mano-agent-pat01,15,1,1.0,2457,0,1,2,8
37,product-catalog-100m-sws,4,1,1.0,3072,0,1,2,3
38,abm-sws-pr-tiennn,28,1,3.0,6758,0,1,2,7
39,tool-test-restful-bypass,34,4,10.0,22118,6,1,2,28
