id,name,cpu_cap,mem_cap,vf_cap,default_cluster,relocation_cost
0,cicd-server.novalocal,2.8,8381,0,0,10
1,nfvi-172-20-3-167.novalocal,4.2,10498,0,0,10
2,nfvi-172-20-3-168.novalocal,4.2,10498,0,0,10
3,nfvi-172-20-3-169.novalocal,4.2,10498,0,0,10
4,nfvi-172-20-3-170.novalocal,4.2,10498,0,0,10
5,nfvi-172-20-3-190.novalocal,4.2,10498,0,0,10
6,nfvi-172-20-3-191.novalocal,4.2,10498,0,0,10
7,nfvi-172-20-3-197.novalocal,4.2,10498,0,0,10
8,nfvi-172-20-3-198.novalocal,4.2,10498,0,0,10
9,nfvi-172-20-3-199.novalocal,4.2,10498,0,0,10
10,nfvi-172-20-3-200.novalocal,4.2,10498,0,0,10
11,vmocs-172-20-3-187,4.2,10498,0,0,10
12,vmocs-172-20-3-188,4.2,10498,0,0,10
13,mano01,28.0,90077,0,1,10
14,mano02,28.0,90077,0,1,10
15,mano03,28.0,90077,0,1,10
17,pat01vim01,2.8,8381,0,2,10
18,pat01vim02,2.8,8381,0,2,10
19,pat01vim03,2.8,8381,0,2,10
20,vocs40db01,33.6,90076,45,2,10
21,vocs40db02,33.6,90076,45,2,10
22,vocs40nfvi01,33.6,90098,45,2,10
23,vocs40nfvi02,33.6,90099,0,2,10
24,vocs40nfvi05,33.6,90098,0,2,10
25,vocs40nfvi06,33.6,90099,45,2,10
