timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
0,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.0
0,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.0
0,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.0
1,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.016666666666666666
1,1,sriov-cluster,25.0,62000,36,3.5,8000,7,1,14.000000000000002,12.903225806451612,19.444444444444446,0.016666666666666666
1,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.016666666666666666
2,0,regular-cluster,22.5,58500,0,8.5,19500,0,2,37.77777777777778,33.33333333333333,0.0,0.03333333333333333
2,1,sriov-cluster,25.0,62000,36,3.5,8000,7,1,14.000000000000002,12.903225806451612,19.444444444444446,0.03333333333333333
2,2,mano-sriov-cluster,37.5,99000,75,4.5,12000,0,1,12.0,12.121212121212121,0.0,0.03333333333333333
3,0,regular-cluster,22.5,58500,0,18.0,41000,0,4,80.0,70.08547008547008,0.0,0.05
3,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.05
3,2,mano-sriov-cluster,37.5,99000,75,4.5,12000,0,1,12.0,12.121212121212121,0.0,0.05
4,0,regular-cluster,22.5,58500,0,14.0,31500,0,3,62.22222222222222,53.84615384615385,0.0,0.06666666666666667
4,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.06666666666666667
4,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.06666666666666667
5,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.08333333333333333
5,1,sriov-cluster,25.0,62000,36,12.0,27000,21,2,48.0,43.54838709677419,58.333333333333336,0.08333333333333333
5,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.08333333333333333
6,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.1
6,1,sriov-cluster,25.0,62000,36,17.0,39000,30,3,68.0,62.903225806451616,83.33333333333334,0.1
6,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.1
7,0,regular-cluster,22.5,58500,0,2.5,6000,0,1,11.11111111111111,10.256410256410255,0.0,0.11666666666666667
7,1,sriov-cluster,25.0,62000,36,11.5,26000,20,2,46.0,41.935483870967744,55.55555555555556,0.11666666666666667
7,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.11666666666666667
8,0,regular-cluster,22.5,58500,0,2.5,6000,0,1,11.11111111111111,10.256410256410255,0.0,0.13333333333333333
8,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.13333333333333333
8,2,mano-sriov-cluster,37.5,99000,75,14.0,34000,26,2,37.333333333333336,34.34343434343434,34.66666666666667,0.13333333333333333
9,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.15
9,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.15
9,2,mano-sriov-cluster,37.5,99000,75,22.0,54000,41,3,58.666666666666664,54.54545454545454,54.666666666666664,0.15
10,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.16666666666666666
10,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.16666666666666666
10,2,mano-sriov-cluster,37.5,99000,75,15.5,38000,29,2,41.333333333333336,38.38383838383838,38.666666666666664,0.16666666666666666
11,0,regular-cluster,22.5,58500,0,0.0,0,0,0,0.0,0.0,0.0,0.18333333333333332
11,1,sriov-cluster,25.0,62000,36,0.0,0,0,0,0.0,0.0,0.0,0.18333333333333332
11,2,mano-sriov-cluster,37.5,99000,75,0.0,0,0,0,0.0,0.0,0.0,0.18333333333333332
