id,name,cpu_req,mem_req,vf_req,mano_req,avail_start_time,deadline,duration,default_cluster
1,job_1,8,32,0,0,2,6,3,2
2,job_2,8,16,0,0,6,11,2,2
3,job_3,8,24,0,0,1,6,2,2
4,job_4,8,16,0,0,4,8,2,3
5,job_5,12,48,0,0,1,5,2,2
6,job_6,12,32,0,0,3,8,2,3
7,job_7,12,32,0,0,7,12,2,3
8,job_8,16,64,4,1,1,4,2,1
9,job_9,16,32,4,1,2,8,3,1
10,job_10,16,48,0,0,4,10,3,2
11,job_11,16,64,0,0,5,11,3,2
12,job_12,24,96,8,1,3,7,2,1
13,job_13,24,64,4,1,5,9,2,1
14,job_14,24,96,8,1,3,9,2,1
15,job_15,20,64,0,0,5,10,2,3
16,job_16,20,80,8,1,6,12,2,1
17,job_17,20,80,4,1,6,12,2,1
18,job_18,28,96,8,1,7,12,3,1
19,job_19,32,128,16,1,4,9,3,1
20,job_20,32,128,16,1,2,7,3,1
