cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,21,58500,0,0,0,0
0,1,21,58500,0,0,0,0
0,2,21,58500,0,8,19500,0
0,3,33,91500,0,17,41000,0
0,4,33,91500,0,13,31500,0
0,5,33,91500,0,0,0,0
0,6,21,58500,0,0,0,0
0,7,21,58500,0,2,6000,0
0,8,21,58500,0,2,6000,0
0,9,21,58500,0,0,0,0
0,10,21,58500,0,0,0,0
1,0,25,62000,36,0,0,0
1,1,25,62000,36,3,8000,7
1,2,25,62000,36,3,8000,7
1,3,25,62000,36,0,0,0
1,4,25,62000,36,0,0,0
1,5,25,62000,36,11,27000,21
1,6,37,95000,61,16,39000,30
1,7,37,95000,61,11,26000,20
1,8,23,61000,43,0,0,0
1,9,23,61000,43,0,0,0
1,10,23,61000,43,0,0,0
2,0,37,99000,75,0,0,0
2,1,37,99000,75,0,0,0
2,2,37,99000,75,4,12000,0
2,3,25,66000,50,4,12000,0
2,4,25,66000,50,0,0,0
2,5,25,66000,50,0,0,0
2,6,25,66000,50,0,0,0
2,7,25,66000,50,0,0,0
2,8,39,100000,68,13,34000,26
2,9,39,100000,68,21,54000,41
2,10,39,100000,68,15,38000,29
