cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,152,383875,0,81,231626,0
0,1,248,641300,0,83,229782,0
0,2,248,641300,0,98,264188,0
0,3,248,641300,0,133,342827,0
0,4,248,641300,0,129,302892,0
0,5,248,641300,0,119,289376,0
0,6,248,641300,0,101,230397,0
0,7,248,641300,0,109,220568,0
0,8,248,641300,0,112,212580,0
0,9,248,641300,0,88,187391,0
0,10,248,641300,0,59,143153,0
0,11,248,641300,0,68,157284,0
0,12,248,641300,0,91,223637,0
0,13,248,641300,0,73,159741,0
0,14,248,641300,0,40,90930,0
0,15,248,641300,0,95,159742,0
0,16,248,641300,0,58,82942,0
0,17,248,641300,0,22,48537,0
0,18,248,641300,0,77,232241,0
0,19,248,641300,0,71,180631,0
0,20,248,641300,0,38,78643,0
0,21,248,641300,0,39,176332,0
0,22,248,641300,0,56,210124,0
0,23,248,641300,0,46,188620,0
1,0,240,772089,0,0,0,0
1,1,240,772089,0,1,2457,0
1,2,240,772089,0,1,2457,0
1,3,240,772089,0,0,0,0
1,4,240,772089,0,39,210124,0
1,5,240,772089,0,39,210124,0
1,6,240,772089,0,0,0,0
1,7,240,772089,0,0,0,0
1,8,240,772089,0,0,0,0
1,9,240,772089,0,55,313344,0
1,10,240,772089,0,77,446054,0
1,11,240,772089,0,52,326860,0
1,12,240,772089,0,30,194150,0
1,13,240,772089,0,0,0,0
1,14,240,772089,0,51,307199,0
1,15,240,772089,0,12,63896,0
1,16,240,772089,0,31,206437,0
1,17,240,772089,0,30,203980,0
1,18,240,772089,0,0,0,0
1,19,240,772089,0,0,0,0
1,20,240,772089,0,17,54066,0
1,21,240,772089,0,17,54066,0
1,22,240,772089,0,0,0,0
1,23,240,772089,0,0,0,0
2,0,80,385437,0,0,0,0
2,1,80,385437,0,0,0,0
2,2,80,385437,0,4,8601,0
2,3,80,385437,0,13,27032,0
2,4,80,385437,0,9,18431,0
2,5,80,385437,0,8,15974,0
2,6,80,385437,0,0,0,0
2,7,80,385437,0,0,0,0
2,8,80,385437,0,0,0,0
2,9,80,385437,0,0,0,0
2,10,80,385437,0,20,35635,0
2,11,80,385437,0,4,4915,0
2,12,80,385437,0,4,4915,0
2,13,80,385437,0,0,0,0
2,14,80,385437,0,0,0,0
2,15,80,385437,0,0,0,0
2,16,80,385437,0,1,460,0
2,17,80,385437,0,0,0,0
2,18,80,385437,0,0,0,0
2,19,80,385437,0,0,0,0
2,20,80,385437,0,0,0,0
2,21,80,385437,0,34,76185,0
2,22,80,385437,0,34,76185,0
2,23,80,385437,0,0,0,0
3,0,600,1616261,512,10,22118,6
3,1,504,1358836,512,18,41777,10
3,2,504,1358836,512,64,159741,70
3,3,504,1358836,512,88,221796,84
3,4,504,1358836,512,89,224253,84
3,5,504,1358836,512,86,216880,84
3,6,504,1358836,512,89,221025,88
3,7,504,1358836,512,53,135011,54
3,8,504,1358836,512,79,215670,94
3,9,504,1358836,512,78,215210,94
3,10,504,1358836,512,32,93559,44
3,11,504,1358836,512,38,105336,48
3,12,504,1358836,512,35,99193,48
3,13,504,1358836,512,5,10443,8
3,14,504,1358836,512,30,50994,4
3,15,504,1358836,512,70,129022,4
3,16,504,1358836,512,71,130250,8
3,17,504,1358836,512,104,431305,6
3,18,504,1358836,512,69,362493,6
3,19,504,1358836,512,5,11057,6
3,20,504,1358836,512,3,7372,2
3,21,504,1358836,512,3,7372,2
3,22,504,1358836,512,1,2457,0
3,23,504,1358836,512,0,0,0
