cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,366,779,105,0,0,0
0,1,366,779,105,0,0,0
0,2,366,779,105,26,44,0
0,3,366,779,105,26,44,0
0,4,366,779,105,48,89,0
0,5,366,779,105,48,89,0
0,6,366,779,105,47,92,0
0,7,366,779,105,47,92,0
0,8,366,779,105,47,92,0
0,9,366,779,105,47,108,4
0,10,366,779,105,47,108,4
0,11,366,779,105,26,60,4
0,12,366,779,105,26,60,4
0,13,366,779,105,38,116,4
0,14,366,779,105,52,156,4
0,15,366,779,105,51,138,4
0,16,366,779,105,56,151,0
0,17,366,779,105,101,264,0
0,18,366,779,105,101,264,0
0,19,366,779,105,90,226,0
0,20,366,779,105,71,167,0
0,21,366,779,105,0,0,0
0,22,366,779,105,0,0,0
0,23,366,779,105,0,0,0
0,24,366,779,105,0,0,0
0,25,366,779,105,19,26,0
0,26,366,779,105,19,26,0
0,27,366,779,105,19,26,0
0,28,366,779,105,19,26,0
0,29,366,779,105,19,26,0
0,30,366,779,105,19,26,0
1,0,163,474,0,0,0,0
1,1,163,474,0,33,87,0
1,2,163,474,0,33,87,0
1,3,163,474,0,46,110,0
1,4,163,474,0,68,162,0
1,5,163,474,0,68,162,0
1,6,163,474,0,68,162,0
1,7,163,474,0,68,162,0
1,8,163,474,0,43,100,0
1,9,163,474,0,43,100,0
1,10,163,474,0,43,100,0
1,11,163,474,0,43,100,0
1,12,163,474,0,59,160,0
1,13,163,474,0,59,160,0
1,14,163,474,0,59,160,0
1,15,163,474,0,59,160,0
1,16,163,474,0,0,0,0
1,17,163,474,0,0,0,0
1,18,163,474,0,6,31,0
1,19,163,474,0,6,31,0
1,20,163,474,0,6,31,0
1,21,163,474,0,6,31,0
1,22,163,474,0,0,0,0
1,23,163,474,0,12,27,0
1,24,163,474,0,12,27,0
1,25,163,474,0,23,54,0
1,26,163,474,0,23,54,0
1,27,163,474,0,11,27,0
1,28,163,474,0,11,27,0
1,29,163,474,0,11,27,0
1,30,163,474,0,11,27,0
2,0,266,575,126,0,0,0
2,1,266,575,126,0,0,0
2,2,266,575,126,0,0,0
2,3,266,575,126,0,0,0
2,4,266,575,126,0,0,0
2,5,266,575,126,0,0,0
2,6,266,575,126,22,52,0
2,7,266,575,126,46,108,7
2,8,266,575,126,46,108,7
2,9,266,575,126,46,108,7
2,10,266,575,126,59,144,7
2,11,266,575,126,37,92,7
2,12,266,575,126,37,92,7
2,13,266,575,126,13,36,0
2,14,266,575,126,13,36,0
2,15,266,575,126,0,0,0
2,16,266,575,126,0,0,0
2,17,266,575,126,16,27,0
2,18,266,575,126,16,27,0
2,19,266,575,126,16,27,0
2,20,266,575,126,16,27,0
2,21,266,575,126,16,27,0
2,22,266,575,126,0,0,0
2,23,266,575,126,0,0,0
2,24,266,575,126,22,52,0
2,25,266,575,126,22,52,0
2,26,266,575,126,0,0,0
2,27,266,575,126,0,0,0
2,28,266,575,126,0,0,0
2,29,266,575,126,0,0,0
2,30,266,575,126,0,0,0
3,0,118,265,0,0,0,0
3,1,118,265,0,0,0,0
3,2,118,265,0,0,0,0
3,3,118,265,0,0,0,0
3,4,118,265,0,6,13,0
3,5,118,265,0,6,13,0
3,6,118,265,0,0,0,0
3,7,118,265,0,0,0,0
3,8,118,265,0,0,0,0
3,9,118,265,0,0,0,0
3,10,118,265,0,9,19,0
3,11,118,265,0,9,19,0
3,12,118,265,0,9,19,0
3,13,118,265,0,0,0,0
3,14,118,265,0,0,0,0
3,15,118,265,0,0,0,0
3,16,118,265,0,9,9,0
3,17,118,265,0,9,9,0
3,18,118,265,0,0,0,0
3,19,118,265,0,5,20,0
3,20,118,265,0,5,20,0
3,21,118,265,0,12,36,0
3,22,118,265,0,12,36,0
3,23,118,265,0,5,20,0
3,24,118,265,0,5,20,0
3,25,118,265,0,5,20,0
3,26,118,265,0,0,0,0
3,27,118,265,0,0,0,0
3,28,118,265,0,0,0,0
3,29,118,265,0,0,0,0
3,30,118,265,0,0,0,0
